Crown,KingTower,LeftPrincess,RigthPrincess,CrownOpponent,KingTowerOpponent,LeftPrincessOpponent,RigthPrincessOpponent,Cluster
1,5165,4032,1892,0,6408,3524,0,0
1,0,0,0,3,3271,3612,0,1
1,3546,4032,1523,0,6408,4032,0,0
0,6192,4032,0,1,6408,779,3836,1
0,6408,3610,0,1,6408,3954,3400,1
1,6276,4032,2080,0,6408,1971,0,0
1,6408,543,2162,0,6408,3488,0,0
0,6408,3855,0,1,4634,1564,3510,1
3,6195,2734,4032,0,0,0,0,2
0,5718,414,0,1,5962,4,3586,1
0,0,0,0,3,6408,2570,2886,1
1,6249,3215,4032,0,6408,3608,0,0
0,6249,3731,0,1,6408,3187,4032,1
1,5373,4032,2278,0,6408,4032,0,0
1,4303,3611,3430,0,6408,3390,0,0
0,6408,625,0,1,6408,4032,1900,1
1,5381,827,2365,0,5381,2369,0,0
1,6408,4032,134,0,5962,4032,0,0
0,4489,2629,0,1,6408,3301,2749,1
1,6408,2871,3018,0,6408,2137,0,0
0,6408,1459,0,1,6408,4032,511,1
0,6408,1976,0,1,6408,4032,2255,1
1,6408,4032,1564,0,6408,4032,0,0
3,962,0,0,2,0,0,0,2
1,4943,1010,1181,0,4943,48,0,0
1,6408,3492,2688,0,3882,3819,0,0
0,0,0,0,3,6408,3398,4032,1
1,5076,472,1813,0,4863,2399,0,0
1,6408,3017,3809,0,6408,4032,0,0
0,0,0,0,3,6408,2046,548,1
0,5062,2238,0,1,5062,2338,62,1
